machine,benchmark,dataset,implementation,time
monaco,abinit,ti22,mkl,102.1
monaco,abinit,ti22,mkl,101.3
monaco,abinit,ti22,mkl,102.5
monaco,abinit,ti22,mkl,101.7
monaco,abinit,ti22,mkl,101.7
monaco,abinit,tin,mkl,9.5
monaco,abinit,tin,mkl,10.1
monaco,abinit,tin,mkl,10.0
monaco,abinit,tin,mkl,10.4
monaco,abinit,tin,mkl,9.9
monaco,abinit,v420,mkl,129.6
monaco,abinit,v420,mkl,130.7
monaco,abinit,v420,mkl,132.6
monaco,abinit,v420,mkl,131.1
monaco,abinit,v420,mkl,130.1
monaco,abinit,v701,mkl,10.5
monaco,abinit,v701,mkl,10.5
monaco,abinit,v701,mkl,10.5
monaco,abinit,v701,mkl,10.5
monaco,abinit,v701,mkl,10.5
monaco,abinit,ti22,seq,156.7
monaco,abinit,ti22,seq,153.5
monaco,abinit,ti22,seq,155.3
monaco,abinit,ti22,seq,153.6
monaco,abinit,ti22,seq,154.5
monaco,abinit,tin,seq,9.3
monaco,abinit,tin,seq,9.3
monaco,abinit,tin,seq,9.2
monaco,abinit,tin,seq,9.2
monaco,abinit,tin,seq,9.4
monaco,abinit,v420,seq,140.2
monaco,abinit,v420,seq,141.2
monaco,abinit,v420,seq,140.1
monaco,abinit,v420,seq,139.8
monaco,abinit,v420,seq,142.7
monaco,abinit,v701,seq,11.4
monaco,abinit,v701,seq,10.1
monaco,abinit,v701,seq,10.2
monaco,abinit,v701,seq,10.1
monaco,abinit,v701,seq,10.2
monaco,abinit,ti22,openblas,110.8
monaco,abinit,ti22,openblas,109.7
monaco,abinit,ti22,openblas,110.0
monaco,abinit,ti22,openblas,110.6
monaco,abinit,ti22,openblas,109.8
monaco,abinit,tin,openblas,9.2
monaco,abinit,tin,openblas,9.2
monaco,abinit,tin,openblas,9.2
monaco,abinit,tin,openblas,9.2
monaco,abinit,tin,openblas,9.2
monaco,abinit,v420,openblas,135.1
monaco,abinit,v420,openblas,134.9
monaco,abinit,v420,openblas,135.0
monaco,abinit,v420,openblas,134.9
monaco,abinit,v420,openblas,134.9
monaco,abinit,v701,openblas,11.4
monaco,abinit,v701,openblas,11.3
monaco,abinit,v701,openblas,11.4
monaco,abinit,v701,openblas,11.4
monaco,abinit,v701,openblas,11.4
michel,abinit,ti22,seq,211.6
michel,abinit,ti22,seq,212.1
michel,abinit,ti22,seq,211.9
michel,abinit,ti22,seq,210.9
michel,abinit,ti22,seq,212.2
michel,abinit,tin,seq,6.5
michel,abinit,tin,seq,6.5
michel,abinit,tin,seq,6.5
michel,abinit,tin,seq,6.5
michel,abinit,tin,seq,6.5
michel,abinit,v420,seq,128.8
michel,abinit,v420,seq,128.7
michel,abinit,v420,seq,129.0
michel,abinit,v420,seq,129.3
michel,abinit,v420,seq,128.1
michel,abinit,v701,seq,7.1
michel,abinit,v701,seq,7.2
michel,abinit,v701,seq,7.2
michel,abinit,v701,seq,7.2
michel,abinit,v701,seq,7.2
michel,abinit,ti22,openblas,218.5
michel,abinit,ti22,openblas,213.3
michel,abinit,ti22,openblas,209.1
michel,abinit,ti22,openblas,212.6
michel,abinit,ti22,openblas,212.5
michel,abinit,tin,openblas,6.5
michel,abinit,tin,openblas,6.5
michel,abinit,tin,openblas,6.5
michel,abinit,tin,openblas,6.5
michel,abinit,tin,openblas,6.5
michel,abinit,v420,openblas,139.1
michel,abinit,v420,openblas,138.1
michel,abinit,v420,openblas,139.4
michel,abinit,v420,openblas,138.7
michel,abinit,v420,openblas,138.5
michel,abinit,v701,openblas,7.7
michel,abinit,v701,openblas,7.7
michel,abinit,v701,openblas,7.8
michel,abinit,v701,openblas,7.8
michel,abinit,v701,openblas,7.8
